"","cell_ID","LSEC","EPCAM+ cells and cholangiocytes","NK,NKT and T cells","Hepatocytes","B cells","Stellate cells and myofibroblasts"
"204","X203",0.354740831274206,0.341781928755599,0.303477239970195,0,0,0
"205","X204",0.0949429844878828,0.0548711171414692,0.266330513729717,0.583855384640931,0,0
"206","X205",0,0.0736127678669543,0.237349912006886,0.68903732012616,0,0
"207","X206",0,0,0.396414337022346,0,0.603585662977654,0
"208","X207",0,0.0918101468030144,0.179670621402243,0.728519231794742,0,0
"209","X208",0,0.113062630798305,0.119881230452054,0.767056138749641,0,0
"210","X209",0.242200606525714,0,0.231904445515491,0.437674766558265,0.0882201814005302,0
"211","X210",0,0.537938347129422,0,0.462061652870578,0,0
"212","X211",0.540546871715425,0,0.459453128284575,0,0,0
"213","X212",0,0,0.114354832199003,0.0600504210007098,0.825594746800288,0
"214","X213",0.353737232393292,0.16014952962835,0.0955302996714224,0.390582938306936,0,0
"215","X214",0,0,1,0,0,0
"216","X215",0,0.267685367484618,0,0.732314632515382,0,0
"217","X216",0,0.20526308804861,0.113747248908761,0.680989663042629,0,0
"218","X217",0.189501352019041,0,0.138283218308018,0.672215429672941,0,0
"219","X218",0.332059612284,0.138987465271663,0.185772942696662,0.343179979747676,0,0
"220","X219",0,0,1,0,0,0
"221","X220",0,0,0.748397389573274,0.251602610426726,0,0
"222","X221",0,0,0.150005443748223,0.849994556251777,0,0
"223","X222",0,0.0739399667605332,0.250959870874809,0.675100162364658,0,0
"224","X223",0.441027968491712,0,0.394887802967181,0.164084228541107,0,0
"225","X224",0.207504071674241,0.792495928325759,0,0,0,0
"226","X225",0.17436479627197,0,0.0822040007225608,0,0.743431203005469,0
"227","X226",0.235862934736462,0.207536128243795,0.0674394017144741,0.489161535305269,0,0
"228","X227",0,0.0617563516069187,0.249209311691394,0.689034336701688,0,0
"229","X228",0,0.0836713576383887,0.0918580538580778,0.824470588503533,0,0
"230","X229",0.225054185594945,0.774945814405055,0,0,0,0
"231","X230",0.139126799906155,0.585648292087828,0.275224908006017,0,0,0
"232","X231",0,0.609141033915958,0.333687483876139,0.0571714822079029,0,0
"233","X232",0.273170399817348,0.0733617244683296,0.216107698718369,0.437360176995953,0,0
"234","X233",0,0.658405236827277,0.283217513866647,0.0583772493060762,0,0
"235","X234",0,0.303517568898024,0,0.696482431101976,0,0
"236","X235",0.446197433318029,0.107446782559446,0,0.446355784122526,0,0
"237","X236",0.283607647685583,0.461399018395456,0.254993333918961,0,0,0
"238","X237",0,0.912817983247456,0.0871820167525437,0,0,0
"239","X238",0,0.136615748053664,0.0792783171996234,0.784105934746712,0,0
"240","X239",0.133663121102865,0,0,0.644369334771268,0.221967544125867,0
"241","X240",0,0.125758123069077,0.227057207759323,0.6471846691716,0,0
"242","X241",0,0,0.40148825953207,0.59851174046793,0,0
"243","X242",0.474697327531483,0.525302672468517,0,0,0,0
"244","X243",0,0,0.344072794965596,0.655927205034404,0,0
"245","X244",0.0946368480332469,0.14566394759568,0,0.759699204371073,0,0
"246","X245",0,0,0.779874242877112,0.220125757122888,0,0
"247","X246",0,0.943878747831213,0,0.0561212521687874,0,0
"248","X247",0.547194034973884,0.0507195003286436,0,0.402086464697473,0,0
"249","X248",0.307876066794218,0,0,0.692123933205782,0,0
"250","X249",0,0,0.174666335425433,0.825333664574567,0,0
"251","X250",0,0.0935345980291588,0.906465401970841,0,0,0
"252","X251",0,0,0.217535649720588,0,0.782464350279412,0
"253","X252",0.552537909748718,0.447462090251282,0,0,0,0
"254","X253",0,0,0,1,0,0
"255","X254",0.249000362750317,0,0.286885766672956,0.464113870576728,0,0
"256","X255",0,0,0.281103101175615,0.718896898824385,0,0
"257","X256",0,0.0600303853967659,0.157335258094948,0.782634356508286,0,0
"258","X257",0,0.948458699195993,0,0.0515413008040074,0,0
"259","X258",0.167595140464366,0.609714553822231,0,0.222690305713403,0,0
"260","X259",0,0,0.0520845789902961,0.179355218914063,0.768560202095641,0
"261","X260",0.495560495815289,0,0.44599435804764,0,0.0584451461370708,0
"262","X261",0.188456311942672,0,0.414605482088622,0.396938205968706,0,0
"263","X262",0,0.748720539646219,0.19444436867825,0.0568350916755317,0,0
"264","X263",0,0,1,0,0,0
"265","X264",0,0,0.0789439273779336,0.413979484465979,0.507076588156087,0
"266","X265",0,0,0.190500725127761,0.809499274872239,0,0
"267","X266",0.609797364412492,0,0.390202635587508,0,0,0
"268","X267",0,0.0528828152907228,0.131782130822335,0.815335053886943,0,0
"269","X268",0.247786895148184,0,0.646393104364629,0.105820000487186,0,0
"270","X269",0.264670664781597,0.248624955053407,0.113476123684145,0.373228256480851,0,0
"271","X270",0,0.143950191998521,0,0.856049808001479,0,0
"272","X271",0.172416900661849,0,0,0.827583099338151,0,0
"273","X272",0.345697259782155,0,0.134012812089219,0.520289928128626,0,0
"274","X273",0,0.105650757833398,0.231140355510608,0.663208886655995,0,0
"275","X274",0.203720353780333,0.0713947181527678,0.478452997817929,0.24643193024897,0,0
"276","X275",0,0,0,1,0,0
"277","X276",0,0,0,1,0,0
"278","X277",0.104429468286726,0,0,0.895570531713274,0,0
"279","X278",0.133375863987953,0.494529896822205,0.134421263164705,0,0.237672976025137,0
"280","X279",0,0,0.615523013177171,0.384476986822829,0,0
"281","X280",0,0.883238334220856,0.116761665779144,0,0,0
"282","X281",0.391492542863239,0.0581144863411262,0.270054477807071,0.280338492988563,0,0
"283","X282",0,0.146430265570402,0.154236242354989,0.699333492074608,0,0
"284","X283",0,0.0533948605040649,0.182899986783425,0.76370515271251,0,0
"285","X284",0,0.332810808797783,0,0.667189191202217,0,0
"286","X285",0,0,0,1,0,0
"287","X286",0,0.697113333727122,0.302886666272878,0,0,0
"288","X287",0,0,0.160060351520433,0.839939648479567,0,0
"289","X288",0.275884122066879,0.499201020039605,0,0.224914857893516,0,0
"290","X289",0.0916868155859089,0,0.194491491563528,0,0,0.713821692850563
"291","X290",0,0,0.803515520284307,0.196484479715693,0,0
"292","X291",0,0,0.285502442005934,0.714497557994066,0,0
"293","X292",0,0.590486542572233,0.409513457427767,0,0,0
"294","X293",0,0.295902829746579,0.312337374357297,0,0.391759795896124,0
"295","X294",0,0,0.457123641559416,0.453601462248431,0,0.0892748961921531
"296","X295",0.819963209827741,0,0.180036790172259,0,0,0
"297","X296",0,0.101426635737386,0.516435732875686,0.382137631386928,0,0
"298","X297",0,0.825088993328466,0.127641354159734,0.0472696525118005,0,0
"299","X298",0,0.0555447959831058,0.121426108712622,0.823029095304272,0,0
"300","X299",0,0.555260353658116,0.153973382061431,0.290766264280453,0,0
"301","X300",0,0.172248423314476,0.068085193875124,0.7596663828104,0,0
"302","X301",0.241665704130649,0.135928248153464,0.198974547610625,0.423431500105262,0,0
"303","X302",0,0.0518968225772373,0.351578291976239,0.596524885446523,0,0
"304","X303",0,0,1,0,0,0
"305","X304",0.712460526501027,0.044905389937602,0.242634083561371,0,0,0
"306","X305",0.34538879107382,0.492519987205762,0.162091221720418,0,0,0
"307","X306",0.131989216012481,0,0,0.868010783987519,0,0
"308","X307",0.211501190763206,0,0.435219818627539,0,0.353278990609255,0
"309","X308",0.228567575978836,0.469329988096893,0,0.302102435924271,0,0
"310","X309",0,0,1,0,0,0
"311","X310",0.246161560609203,0,0.0681292424791569,0.537230574606776,0.148478622304863,0
"312","X311",0.681551269107238,0.0556358238843454,0.262812907008416,0,0,0
"313","X312",0,0.251299438197006,0,0.496748945072875,0.251951616730119,0
"314","X313",0.320366562504526,0.274393354796032,0.405240082699442,0,0,0
"315","X314",0,0.0599727990583011,0.218628533150498,0.7213986677912,0,0
"316","X315",0.367348429858726,0,0.632651570141274,0,0,0
"317","X316",0.312398055814886,0,0.687601944185114,0,0,0
