"","LSEC","EPCAM+ cells and cholangiocytes","NK,NKT and T cells","Hepatocytes","B cells","Stellate cells and myofibroblasts"
"X193",0.0623881220757455,0.00297250346055864,0.931092812914445,6.06575558465937e-06,0.0033016789041727,0.000238816889493601
"X194",0.0145314372430492,0.0740340779116575,0.193788883367806,0.697349108860549,0.00839947014191398,0.0118970224750239
"X195",0.0155455473701625,0.00524147844119458,0.604504015145289,0.340103495251139,0.000675919968267779,0.0339295438239475
"X196",0.00214474268804381,0.0152312807534923,0.193075464582981,0.784558204191817,0.000828805807232049,0.00416150197643412
"X197",0.0296763706321652,0.235422179528474,0.536393044216731,0.150045286357901,0.0261744854558166,0.0222886338089124
"X198",0.033490195643056,0.106335609486807,0.45990939752803,0.382820760965428,0.00610159522115961,0.0113424411555187
"X199",0.217465311639852,0.000117503776144878,0.769351613853129,6.74425510566489e-09,0.00339730348493291,0.00966826050168615
"X200",0.045019405332541,0.0772661356914904,0.105857402717172,0.753393891061971,0.00383054324091391,0.0146326219559122
"X201",0.290947004657914,0.0873367047298219,0.47798081641533,0.113387558428099,0.0209574913678808,0.00939042440095442
"X202",0.102325299002051,0.104601317725373,0.30614622287934,0.468739525179275,0.00273120213922957,0.0154564330747306
"X203",0.279262302603769,0.276831146124532,0.35029725025384,0.00912464337663624,0.0348642117134325,0.0496204459277909
"X204",0.118333022026356,0.0538105871392379,0.296204069322065,0.467115698342286,0.0179074456690636,0.0466291775009917
"X205",0.0104365232168363,0.0702589711278911,0.329997549110501,0.558519088621729,0.00156396862030903,0.0292238993027337
"X206",0.107978379686257,0.00199190648156945,0.709193759891703,4.67218290831417e-06,0.175521962651887,0.00530931910567646
"X207",0.0278056511240383,0.107780160023311,0.256491882581836,0.582925896635636,0.00633059300211809,0.0186658166330606
"X208",0.13246069210221,0.130427392045524,0.0316724802362129,0.687220240641237,0.00193948337652911,0.0162797115982872
"X209",0.294377396724769,0.0408686066325909,0.229529340601858,0.32658509038133,0.0711677415657224,0.0374718240937293
"X210",0.0252042418964397,0.419536508151597,0.0742936430454731,0.451600231952385,0.00700692407675347,0.0223584508773517
"X211",0.459809630777424,0.000246948802653038,0.478591163315772,2.65799047370397e-06,0.024893398400024,0.0364562007136535
"X212",0.0298823827593314,0.0167322563161192,0.283432318280566,0.043966638464967,0.604238820701087,0.0217475834779292
"X213",0.36599510480815,0.171701151975816,0.168757434490249,0.25269070811195,0.0257114197543158,0.0151441808595189
"X214",0.0990837740181317,0.00496690947876473,0.864039813940713,0.000121345309851586,0.022862106034002,0.0089260512185366
"X215",0.0118337605151437,0.30748489062652,0.00550238972155231,0.658095424498355,0.00225740788435952,0.0148261267540694
"X216",0.00846504443740368,0.136826784709316,0.147372958188705,0.678216605489902,0.00238426521798781,0.0267343419566859
"X217",0.198048193366018,0.130276034954663,0.247174097920922,0.410331130951739,0.00382286097268541,0.0103476818339726
"X218",0.308768839766848,0.140402140117216,0.242169708035329,0.246917335660509,0.0081944057936047,0.0535475706264937
"X219",0.021422931705862,0.00210346921808419,0.945684010737561,3.84460178151002e-07,0.0145230459943192,0.0162661578839958
"X220",0.0409481405105797,0.0164651052992694,0.762128816550701,0.151383400002385,0.0200166915559935,0.00905784608107153
"X221",0.0242413204056184,0.0747695932140094,0.303425130945408,0.573407648595469,0.0141616377338606,0.00999466910563421
"X222",0.0360400705173739,0.0892341290187214,0.336467865545723,0.510158574633597,0.0203380454041206,0.00776131488046417
"X223",0.348233488068883,0.00928175160065423,0.54303421222448,0.0798845102594888,0.00543589739911101,0.0141301404473827
"X224",0.247057804345935,0.686893874379621,0.00120209136907628,0.00860182070390636,0.0116369987353036,0.0446074104661576
"X225",0.252894731246648,0.00669091160627789,0.173581600092275,6.68479251141687e-05,0.530987379220556,0.0357785299091287
"X226",0.249063305280364,0.26568018242045,0.108890298660676,0.327655723199827,0.0193399719724826,0.0293705184662004
"X227",0.0282867709566204,0.0243174339638315,0.356258820877318,0.581566115289823,0.00304763859954243,0.00652322031286464
"X228",0.0170928895218565,0.0810904701713978,0.162724344097858,0.69803046992661,0.00483984961662837,0.0362219766656494
"X229",0.278784523521124,0.566691766910271,0.00771168445446569,0.062031480946819,0.02360227397862,0.0611782701887003
"X230",0.181307490062987,0.394748273571596,0.406846268666966,6.00811779747248e-05,0.00247934520860407,0.0145585413118728
"X231",0.0363899722386035,0.351760755716708,0.471082494062989,0.0928177246903562,0.0243170366264153,0.0236320166649279
"X232",0.26526614937205,0.0568753125148492,0.320363000995932,0.342299634243905,0.00121309709529525,0.013982805777969
"X233",0.106463900512402,0.398919754401503,0.385983463685343,0.0535051617285573,0.0438236464526605,0.0113040732195343
"X234",0.105923688056264,0.2758410548186,0.0450395975918774,0.549445622160255,0.00659754288050543,0.0171524944924982
"X235",0.476445962442014,0.158774672906484,0.00604259767848128,0.33595618937163,0.00277445428800753,0.0200061233133828
"X236",0.247490714976655,0.299991936185507,0.410287311039518,0.000381184329782023,0.0234273835021207,0.0184214699664167
"X237",0.0740979543179284,0.667101819379294,0.18131837086608,0.0188525669416902,0.0425082453699621,0.016121043125045
"X238",0.0211514857631176,0.218519094604674,0.0828930786417093,0.630539826069147,0.0316065826075774,0.0152899323137744
"X239",0.168579577840589,0.0213695935762664,0.0225677320438417,0.756380956211833,0.0248269072477772,0.0062752330796928
"X240",0.0242154998632466,0.132487876519461,0.293123625248031,0.540464040585154,0.0061517827672494,0.00355717501685831
"X241",0.0181491362184833,0.0468993038564133,0.564212092260619,0.353261484057372,0.0014667242283011,0.0160112593788113
"X242",0.501545850054203,0.388775865925848,0.0292197427269546,0.0481372631271134,0.0101130820806404,0.0222081960852412
"X243",0.028947464059536,0.071817200960986,0.359259475399929,0.527598741109083,0.00692454605800955,0.00545257241245652
"X244",0.0861695043394188,0.250956658563991,0.0111456852702982,0.62945098231295,0.00472963908955007,0.0175475304237922
"X245",0.0614666870674634,0.0285218926558231,0.780271092210538,0.104281874366533,0.018175564081143,0.00728288961849971
"X246",0.0620921658197932,0.681584477052302,0.0767135721410717,0.124830924434681,0.0281926339054787,0.0265862266466732
