"","B cells","EPCAM+ cells and cholangiocytes","Hepatocytes","LSEC","NK,NKT and T cells","Stellate cells and myofibroblasts"
"X122",0.185029056093505,0.425461180904306,0.218042509675666,0.0615969388454166,0.023001180423945,0.086869134057162
"X123",0.197014650076041,0.227747960430719,0.25609667515686,0.0548785021361024,0.191495537009827,0.0727666751904504
"X124",0.42526070823401,0.0643870356293985,0.0350284251901349,0.168731605504973,0.230430583942463,0.0761616414990203
"X125",0.196293411692345,0.103765370229819,0.457342238185899,0.0551541981245122,0.125179557091928,0.062265224675496
"X126",0.218083530839552,0.0932631347905275,0.370294781693898,0.0427821674645597,0.206659055244407,0.0689173299670561
"X127",0.169118866617886,0.110617511630884,0.430112718764814,0.0198459920525231,0.209422724447575,0.0608821864863177
"X128",0.135715088055781,0.0806519571715714,0.361463040907065,0.28380090850813,0.0472568243196971,0.0911121810377558
"X129",0.157864754658066,0.125971011352653,0.38955011502717,0.196136626604176,0.0540900073244892,0.0763874850334458
"X130",0.222808998308543,0.237580267247817,0.0753704618484268,0.32477441982141,0.0319038763204482,0.107561976453355
"X131",0.179678680670744,0.107296358867538,0.407566578926855,0.0237540200174923,0.236887758199715,0.0448166033176553
"X132",0.153354203972478,0.10959020818861,0.292462975369417,0.300388077419928,0.048979793894787,0.0952247411547799
"X133",0.15332518282936,0.248156654852785,0.395353478226763,0.0370772145984452,0.108860447820396,0.0572270216722514
"X134",0.175329445905127,0.152226965089842,0.340862167313401,0.186875596548332,0.0638236211403449,0.0808822040029533
"X135",0.177253201436767,0.349273431766225,0.291659817543607,0.0425390512757921,0.0294770982894616,0.109797399688148
"X136",0.165027621577255,0.447115860811263,0.139119351920071,0.0790747677876389,0.0846222407453097,0.0850401571584625
"X137",0.15608174908332,0.059523803777428,0.391721937138666,0.0449150010208785,0.312087560575946,0.035669948403761
"X138",0.237613711670597,0.103554593858851,0.0942864425253787,0.280040503256208,0.205654256541454,0.0788504921475115
"X139",0.141188499084453,0.121533524036166,0.345265858175647,0.122954151109294,0.215536097444798,0.0535218701496424
"X140",0.130630545229521,0.206383099108423,0.443161449559526,0.117415646734184,0.0497699168455934,0.0526393425227528
