"","B cells","EPCAM+ cells and cholangiocytes","Hepatocytes","LSEC","NK,NKT and T cells","Stellate cells and myofibroblasts"
"X129",9.49606603295243e-05,0.0529792171553516,0.686980704628243,0.239259012921191,0.0205911439615301,9.49606733550564e-05
"X130",0.00031769363161386,0.271989355919026,0.000317693634351758,0.712985765554616,0.00031769363436836,0.0140717976260237
"X131",9.39530050278952e-05,0.0240984492385654,0.721463559253593,9.39530033508024e-05,0.254156132496112,9.39530033508028e-05
"X132",0.00020666953130058,0.0295855278774411,0.494308993206623,0.475485470333509,0.000206669525562839,0.000206669525562839
"X133",0.000144804297266156,0.247965206726756,0.645127027580164,0.0105271902643206,0.094791723739685,0.00144404739180809
"X134",0.000228881582037914,0.107671728422549,0.58939592293997,0.245219957396735,0.054999148232087,0.00248436142662114
"X135",0.00020038880388992,0.529324372419022,0.418293871856226,0.0431238326465844,0.00885670905984909,0.000200825214428932
"X136",0.000155575361761823,0.859526462178899,0.0290294996928088,0.0259001191664425,0.0828711030547373,0.00251724054535026
"X137",0.000134069633100642,0.00722382540376666,0.610747237437608,0.000134326828708811,0.381626471062472,0.000134069634344166
"X138",0.000293514274267843,0.000293514276791065,0.0864927316489111,0.626761648736905,0.285865076786334,0.000293514276791038
"X139",0.000210348425943114,0.0707459498872217,0.539805663244872,0.157127341715027,0.225378466713683,0.00673223001325309
"X140",0.00195832496221496,0.150162987190313,0.666827081172909,0.167291084815552,0.0136221181145551,0.000138403744456433
"X141",0.000146913833682538,0.0387558238860035,0.751987756546504,0.202283403885725,0.00228305346082353,0.00454304838726172
"X142",9.68625635675887e-05,0.126522605995064,0.759504670192571,0.0013334635951515,0.112445535090432,9.68625632141906e-05
"X143",0.000209365998456481,0.328002795121048,0.510544027337217,0.000491206359184818,0.154938336858391,0.0058142683257028
"X144",0.000139812374874604,0.0100598547831436,0.708849351088217,0.0102786048478168,0.270532564533032,0.000139812372915805
"X145",8.39526520261175e-05,0.0357137458298179,0.699037210865186,8.39526508594865e-05,0.264997185351251,8.39526508594882e-05
"X146",0.000201501625884154,0.0434391568837402,0.287767771194991,0.00607978476427539,0.662310283891272,0.000201501639838072
"X147",0.000153083481632387,0.792018155683763,0.00544164428991626,0.00819591965534302,0.173011132354513,0.0211800645348328
"X148",0.000198034424642551,0.00184462347599232,0.504851219646195,0.328865039906244,0.164043048122355,0.000198034424571636
"X149",0.000316482101366497,0.440841705977639,0.212868962353381,0.251366544319214,0.0942898231443012,0.000316482104097931
"X150",0.000134364130766715,0.000134364146537715,0.575099994075437,0.424362549354184,0.000134364146537709,0.000134364146537709
"X151",0.000494409144477783,0.0723563349540363,0.521777395996503,0.255003925019603,0.139403495616112,0.010964439269267
"X152",0.000452717339958154,0.030996772780527,0.226465603095335,0.51904685320069,0.222585336213696,0.000452717369793579
"X153",0.000345833297610738,0.0656108082000184,0.000345833303406923,0.46265724883237,0.458595830346723,0.012444446019871
"X154",9.4060604572144e-05,0.0265986873715172,0.700152358222294,0.141354953314506,0.131705879861831,9.40606252797808e-05
"X155",0.000221226568207811,0.65550645988205,0.115595482544571,0.0134166625487258,0.211014479130679,0.00424568932576607
"X156",0.00013683548437584,0.231261039164072,0.58298670159792,0.0440535830178964,0.141425005248659,0.000136835487076704
"X157",0.000193198042559843,0.0347931245991055,0.621102167140245,0.000141916648661953,0.343627676920766,0.000141916648661953
"X158",0.000102037721634335,0.0455643495775065,0.829771393563576,0.0751118894455006,0.0493482919705964,0.000102037721186138
"X159",0.000439696959305533,0.0687054942260446,0.363552702249937,0.171187358726304,0.368140547457065,0.0279742003813435
"X160",0.000126673578975384,0.0267339822826488,0.609236692735653,0.0034321156046458,0.360343862220759,0.000126673577317742
"X161",0.000657717550343821,0.320734866456828,0.130060524624401,0.377829271356366,0.128770240564035,0.0419473794480261
"X162",0.000201993431053931,0.000201993462602459,0.396151983667528,0.30076223729272,0.301578691589903,0.00110310055619323
"X163",0.000154232416084463,0.132632753873958,0.666605829153077,0.00110001024638223,0.189257941321924,0.010249232988574
"X164",0.000106978436599758,0.0391283703377231,0.000106978438289794,0.000106978436754308,0.954544962892758,0.00600573145787548
"X165",0.000303508289518639,0.206284898869086,0.0313092207230676,0.579145522636816,0.182653341208891,0.000303508272619847
"X166",0.000191250182509761,0.445079686898257,0.425403155801206,0.0487115866754169,0.0756755955372116,0.00493872490539893
"X167",9.65887454729676e-05,0.241252379285804,0.721141975419588,0.00327157704085053,0.0330649636464147,0.00117251586187063
"X168",0.00051152344751209,0.0720309422867617,0.107920525861626,0.432771451969193,0.386254032993982,0.000511523440925795
"X169",0.387775950741457,0.000358207140896224,0.000358207141041636,0.499221391732675,0.10967324680153,0.00261299644239988
"X170",0.000280500054664426,0.000280500054501611,0.000280500054305991,0.790656871242948,0.158395046684332,0.0501065819092474
"X171",0.000300133532226698,0.146184430570161,0.450460702668904,0.234336862918517,0.165515117010175,0.00320275330001646
"X172",0.000669353604582654,0.17593070002382,0.218016508747834,0.555627457420258,0.0490866266032692,0.000669353600235641
"X173",0.000137801310813274,0.275620678123846,0.611664089230755,0.000137801310502942,0.11230182871358,0.000137801310502942
"X174",9.03735210192583e-05,0.0149397614960115,0.834266997891622,0.0849716932998009,0.0656408002577892,9.03735337572298e-05
"X175",9.04803409573727e-05,0.0950347759471304,0.70686724730649,0.0176385873022149,0.180278428762565,9.04803406418107e-05
"X176",0.00021644462327059,0.572828065694553,0.15635468881901,0.199154229920386,0.00473845977248161,0.0667081111702993
"X177",0.000168191968495675,0.658529699893847,0.000168191967862317,0.000168191967873834,0.340797532234048,0.000168191967873835
"X178",0.000187744070691617,0.0182743733204041,0.407042067521292,0.574120326922032,0.000187744082790236,0.000187744082790232
"X179",0.000289852407426303,0.343799565180812,0.330636663509831,0.00246650144432115,0.313544689140904,0.00926272831670541
"X180",0.000136799737704134,0.0485983336253159,0.601389683683209,0.177781029406457,0.162942321363487,0.00915183218382579
"X181",0.000187734862451691,0.0901486317796674,0.493080272255526,0.000187734863795564,0.41141927731261,0.00497634892594954
"X182",0.00028998095419268,0.49958332148814,0.201685885511408,0.000289980979552087,0.284841142904345,0.013309688162362
"X183",0.000141703684754623,0.039046746223756,0.695395446330161,0.233349781862114,0.0319246182209765,0.000141703678237159
"X184",0.503575423358041,0.283459366096622,0.000498746491529594,0.0752442867831929,0.123241482355756,0.0139806949148585
"X185",0.0183710794485421,0.00344286078915809,0.000166434983097176,0.000166434983385912,0.97768675481243,0.000166434983387032
